cochesNetMarcaId,cochesNetModeloId,milanunciosMarcaId,milanunciosModeloId,wallapopMarcaId,wallapopModeloId,cochesComMarcaId,cochesComModeloId
1,217,Alfa Romeo,166,Alfa Romeo,166,cG83QUFWWlpYVStPUlJLMlBQRW1JZz09,NDdQZmw2dGhjTUZud1NZYzJ4R1ExZz09
1,771,Alfa Romeo,33,Alfa Romeo,33,cG83QUFWWlpYVStPUlJLMlBQRW1JZz09,None
1,1066,Alfa Romeo,4C,Alfa Romeo,4C,cG83QUFWWlpYVStPUlJLMlBQRW1JZz09,None
1,770,Alfa Romeo,75,Alfa Romeo,75,cG83QUFWWlpYVStPUlJLMlBQRW1JZz09,None
1,769,Alfa Romeo,90,Alfa Romeo,90,cG83QUFWWlpYVStPUlJLMlBQRW1JZz09,None
1,559,Alfa Romeo,Brera,Alfa Romeo,Brera,cG83QUFWWlpYVStPUlJLMlBQRW1JZz09,None
1,537,Alfa Romeo,Crosswagon,Alfa Romeo,Crosswagon,cG83QUFWWlpYVStPUlJLMlBQRW1JZz09,None
1,1185,Alfa Romeo,Giulia,Alfa Romeo,Giulia,cG83QUFWWlpYVStPUlJLMlBQRW1JZz09,MlRQb0pFMmZiMWJGNU40NTVUdHZJQT09
1,872,Alfa Romeo,Giulietta,Alfa Romeo,Giulietta,cG83QUFWWlpYVStPUlJLMlBQRW1JZz09,ZElVbURiK1c0YVo2MEw2OHZtOGV1QT09
1,532,Alfa Romeo,GT,Alfa Romeo,GT,cG83QUFWWlpYVStPUlJLMlBQRW1JZz09,UXQwYmtZSlRPZTdGQzJ6WUNmc2gxQT09
1,207,Alfa Romeo,GTV,Alfa Romeo,GTV,cG83QUFWWlpYVStPUlJLMlBQRW1JZz09,K0xiWHEvZDNqcWxGSWRGM3VUYkpTQT09
1,1547,Alfa Romeo,None,Alfa Romeo,None,cG83QUFWWlpYVStPUlJLMlBQRW1JZz09,None
1,1546,Alfa Romeo,None,Alfa Romeo,None,cG83QUFWWlpYVStPUlJLMlBQRW1JZz09,None
1,907,Alfa Romeo,MiTo,Alfa Romeo,MiTo,cG83QUFWWlpYVStPUlJLMlBQRW1JZz09,bDRXSFZ1UEcrc2JsMVpldytLYkRlQT09
1,208,Alfa Romeo,Spider,Alfa Romeo,Spider,cG83QUFWWlpYVStPUlJLMlBQRW1JZz09,U01kekZMR2g4NFFlMTlWRGJiY0tYdz09
1,873,Alfa Romeo,Sprint,Alfa Romeo,Sprint,cG83QUFWWlpYVStPUlJLMlBQRW1JZz09,None
1,1217,Alfa Romeo,Stelvio,Alfa Romeo,Stelvio,cG83QUFWWlpYVStPUlJLMlBQRW1JZz09,ZXpDT0lWR3RIdTJrUUR0cGlwMjNWQT09
1,1417,Alfa Romeo,None,Alfa Romeo,None,cG83QUFWWlpYVStPUlJLMlBQRW1JZz09,None
1377,1288,None,A110,None,A110,None,None
1377,1573,None,None,None,None,None,None
238,159,Aro,10,Aro,10,None,None
238,160,Aro,24,Aro,24,None,None
238,791,Aro,Dacia,Aro,Dacia,None,None
238,30,Aro,Expander,Aro,Expander,None,None
1326,358,Asia,Rocsta,Asia,Rocsta,None,None
2,742,Asia Motors,None,Asia Motors,None,None,None
3,993,Aston Martin,Cygnet,Aston Martin,Cygnet,eGFWTXdsSXhCU1llMzN2akdTeEhkZz09,None
3,1302,Aston Martin,DB11,Aston Martin,DB11,eGFWTXdsSXhCU1llMzN2akdTeEhkZz09,None
3,368,Aston Martin,DB7,Aston Martin,DB7,eGFWTXdsSXhCU1llMzN2akdTeEhkZz09,None
3,387,Aston Martin,DB9,Aston Martin,DB9,eGFWTXdsSXhCU1llMzN2akdTeEhkZz09,ZGR3bFVTM1ZFZ2oxRWhEdENPV1hkZz09
3,630,Aston Martin,DBS,Aston Martin,DBS,eGFWTXdsSXhCU1llMzN2akdTeEhkZz09,None
3,1300,Aston Martin,DBS Superleggera,Aston Martin,DBS Superleggera,eGFWTXdsSXhCU1llMzN2akdTeEhkZz09,None
3,1309,Aston Martin,DBX,Aston Martin,DBX,eGFWTXdsSXhCU1llMzN2akdTeEhkZz09,RHpFN1o0SXNUL0lOV2JNMFVHemt6dz09
3,952,Aston Martin,Rapide,Aston Martin,Rapide,eGFWTXdsSXhCU1llMzN2akdTeEhkZz09,None
3,369,Aston Martin,V8,Aston Martin,V8,eGFWTXdsSXhCU1llMzN2akdTeEhkZz09,None
3,578,Aston Martin,V8 Vantage,Aston Martin,V8 Vantage,eGFWTXdsSXhCU1llMzN2akdTeEhkZz09,None
3,446,Aston Martin,Vanquish,Aston Martin,Vanquish,eGFWTXdsSXhCU1llMzN2akdTeEhkZz09,RkVyQzNqSU1BNlpZbE1pSDd4a1pEdz09
3,579,Aston Martin,Vantage,Aston Martin,Vantage,eGFWTXdsSXhCU1llMzN2akdTeEhkZz09,VjBySW81YzRHVUZWMnVJcWdBancyZz09
3,947,Aston Martin,Vantage V12,Aston Martin,Vantage V12,eGFWTXdsSXhCU1llMzN2akdTeEhkZz09,None
3,946,Aston Martin,Vantage V8,Aston Martin,Vantage V8,eGFWTXdsSXhCU1llMzN2akdTeEhkZz09,None
3,756,Aston Martin,Virage,Aston Martin,Virage,eGFWTXdsSXhCU1llMzN2akdTeEhkZz09,None
3,755,Aston Martin,Volante,Aston Martin,Volante,eGFWTXdsSXhCU1llMzN2akdTeEhkZz09,None
4,870,Audi,100,Audi,100,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,akNlNVQ0OWZ6SUFQcFBZczkwdWdNZz09
4,869,Audi,200,Audi,200,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,None
4,6,Audi,80,Audi,80,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,MmJtZHRmTWY2MGFydk9Fd3o2a0Fldz09
4,871,Audi,90,Audi,90,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,None
4,966,Audi,A1,Audi,A1,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,Szlkc2VZSXBWUVhrNll6eHVuN1F5Zz09
4,419,Audi,A2,Audi,A2,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,eDRkdGZGTlNMcTZFM3Z6dk9VNEhBdz09
4,345,Audi,A3,Audi,A3,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,UXpaUCtyN0pqc2E1U1hLNlVOOUJJZz09
4,7,Audi,A4,Audi,A4,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,elBEQTRvS091NXd0YURweEh5V09vUT09
4,1275,Audi,A4 Allroad,Audi,A4 Allroad,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,NkVFNmtVNlZTdFlHRlJGV3d2TTVFZ3duS2Q0OFR0NWQ4NGdISVhhOGlvTT0=
4,925,Audi,A4 Allroad Quattro,Audi,A4 Allroad Quattro,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,None
4,611,Audi,A5,Audi,A5,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,d0tEUjIxRnduQ0Z2dENSb2dCSm1aUT09
4,27,Audi,A6,Audi,A6,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,UFNxWkJjR1NSSHYzUHVlVUUvZWV0UT09
4,1023,Audi,A6 allroad quattro,Audi,A6 allroad quattro,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,None
4,1581,Audi,None,Audi,None,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,None
4,974,Audi,A7,Audi,A7,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,TUNpcDdWMXdkSVpSSFgrb1REZ29jdz09
4,105,Audi,A8,Audi,A8,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,ZGErVWwrY3Q3MFluNnY4amhNM3RvQT09
4,414,Audi,Allroad Quattro,Audi,Allroad Quattro,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,None
4,230,Audi,Cabriolet,Audi,Cabriolet,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,None
4,100,Audi,Coupe,Audi,Coupe,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,None
4,1267,Audi,e-tron,Audi,e-tron,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,bVJ2TG4xS0o5cFpjaXZ0V2FLRnhsZz09
4,1353,Audi,None,Audi,None,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,None
4,1307,Audi,e-tron Sportback,Audi,e-tron Sportback,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,None
4,1199,Audi,Q2,Audi,Q2,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,OEMxcWpCNlR6ZGpXdnkvWGE5N1oydz09
4,999,Audi,Q3,Audi,Q3,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,bTEyUDRUbmVuSTEzYXo3TGJZU2VCUT09
4,1293,Audi,Q3 Sportback,Audi,Q3 Sportback,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,None
4,1368,Audi,None,Audi,None,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,None
4,1376,Audi,None,Audi,None,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,None
4,904,Audi,Q5,Audi,Q5,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,YlFaV3hFY3cxemhlakQycThCOXprUT09
4,1342,Audi,None,Audi,None,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,None
4,1545,Audi,None,Audi,None,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,None
4,571,Audi,Q7,Audi,Q7,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,RHFCZjNURkZ3K2Zpd1BEcCtPMW5iZz09
4,1255,Audi,Q8,Audi,Q8,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,d2svaXlWR2pWdElZWHJMNDY5SDdNQT09
4,1457,Audi,None,Audi,None,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,None
4,1458,Audi,None,Audi,None,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,None
4,1491,Audi,None,Audi,None,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,None
4,608,Audi,R8,Audi,R8,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,QU00NnlQVW02cmo2bXlIZDQ0Rnd2dz09
4,104,Audi,RS2,Audi,RS2,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,None
4,991,Audi,RS3,Audi,RS3,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,None
4,416,Audi,RS4,Audi,RS4,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,None
4,960,Audi,RS5,Audi,RS5,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,None
4,459,Audi,RS6,Audi,RS6,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,None
4,1054,Audi,RS7,Audi,RS7,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,None
4,1117,Audi,S1,Audi,S1,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,None
4,103,Audi,S2,Audi,S2,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,None
4,408,Audi,S3,Audi,S3,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,None
4,359,Audi,S4,Audi,S4,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,None
4,612,Audi,S5,Audi,S5,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,None
4,96,Audi,S6,Audi,S6,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,None
4,1030,Audi,S7,Audi,S7,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,None
4,344,Audi,S8,Audi,S8,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,None
4,1048,Audi,SQ5,Audi,SQ5,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,None
4,1184,Audi,SQ7,Audi,SQ7,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,None
4,360,Audi,TT,Audi,TT,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,SHhXRHpaUDN5M3lmdFZkZGVUOURyQT09
4,933,Audi,TT RS,Audi,TT RS,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,None
4,888,Audi,TTS,Audi,TTS,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,None
4,868,Audi,V8,Audi,V8,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,None
111,865,Austin,None,Austin,None,None,None
111,866,Austin,None,Austin,None,None,None
111,726,Austin,Mini,Austin,Mini,None,None
111,867,Austin,None,Austin,None,None,None
111,768,Austin,Montego,Austin,Montego,None,None
1321,790,Auverland,Diesel,Auverland,Diesel,None,None
6,312,Bentley,Arnage,Bentley,Arnage,cjhmTjRNWE1qNStkaXAxdE9idkNuQT09,VU1WWDZ1UmRtb0M1RHRVV2xqZ1VrZz09
6,268,Bentley,Azure,Bentley,Azure,cjhmTjRNWE1qNStkaXAxdE9idkNuQT09,None
6,1168,Bentley,Bentayga,Bentley,Bentayga,cjhmTjRNWE1qNStkaXAxdE9idkNuQT09,WjNhenNDOElrWHh5NFZwNUN2Q25oZz09
6,265,Bentley,Brooklands,Bentley,Brooklands,cjhmTjRNWE1qNStkaXAxdE9idkNuQT09,Z3FZckJqZS9yeVkreEFjWnhQUXBDUnpMSVpZMnlXNWpJOUN1NVQxK3g1UT0=
6,267,Bentley,Continental,Bentley,Continental,cjhmTjRNWE1qNStkaXAxdE9idkNuQT09,ZDF5WHhPbURNcmxoeDZBSDhXeFNJcXhaUkllWUUySlBnUDRCQlZwZ1BuYz0=
6,553,Bentley,Continental Flying Spur,Bentley,Continental Flying Spur,cjhmTjRNWE1qNStkaXAxdE9idkNuQT09,None
6,494,Bentley,Continental GT,Bentley,Continental GT,cjhmTjRNWE1qNStkaXAxdE9idkNuQT09,None
6,926,Bentley,Continental GTC,Bentley,Continental GTC,cjhmTjRNWE1qNStkaXAxdE9idkNuQT09,None
6,1024,Bentley,Continental Supersports,Bentley,Continental Supersports,cjhmTjRNWE1qNStkaXAxdE9idkNuQT09,None
6,736,Bentley,Eight,Bentley,Eight,cjhmTjRNWE1qNStkaXAxdE9idkNuQT09,None
6,1079,Bentley,Flying Spur,Bentley,Flying Spur,cjhmTjRNWE1qNStkaXAxdE9idkNuQT09,cHhGOW95ekVWaGZlRU4yc2JkY2RkbUdGaHVvZzFXNHFWY3R2N2lFSklMaz0=
6,735,Bentley,Mulsanne,Bentley,Mulsanne,cjhmTjRNWE1qNStkaXAxdE9idkNuQT09,MVN2OCtiaTN6L3VrQjBseGVWamJMQT09
6,266,Bentley,Turbo,Bentley,Turbo,cjhmTjRNWE1qNStkaXAxdE9idkNuQT09,None
6,734,Bentley,Turbo R,Bentley,Turbo R,cjhmTjRNWE1qNStkaXAxdE9idkNuQT09,None
241,789,Bertone,Freeclimber Diesel,Bertone,Freeclimber Diesel,None,None
7,171,Bmw,Compact,Bmw,Compact,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09,None
7,1056,Bmw,i3,Bmw,i3,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09,VG9HbmdwVXVXK0J4Q2R1Ylc1YXY1UT09
7,1374,Bmw,None,Bmw,None,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09,None
7,1498,Bmw,None,Bmw,None,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09,None
7,1422,Bmw,None,Bmw,None,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09,None
7,1085,Bmw,i8,Bmw,i8,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09,RmRIalFTcnVjamJVVGRsdW5LUk5mdz09
7,1361,Bmw,None,Bmw,None,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09,None
7,1444,Bmw,None,Bmw,None,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09,None
7,1515,Bmw,None,Bmw,None,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09,None
7,1324,Bmw,iX3,Bmw,iX3,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09,None
7,539,Bmw,Serie 1,Bmw,Serie 1,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09,VENsT01nR3k0OVNkZ1lsVE5JS2lxUT09
7,1092,Bmw,Serie 2,Bmw,Serie 2,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09,VXk4SFRQcXd6MlY4U3JyRXJ6L3AvUT09
7,1158,Bmw,Serie 2 Active Tourer,Bmw,Serie 2 Active Tourer,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09,None
7,1159,Bmw,Serie 2 Gran Tourer,Bmw,Serie 2 Gran Tourer,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09,None
7,70,Bmw,Serie 3,Bmw,Serie 3,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09,WThPZ1J1K2dNZjd2WVJNMmttampJUT09
7,1084,Bmw,Serie 4,Bmw,Serie 4,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09,Rll4K2V0cHJXc3RCMlN1TGwxYzhBZz09
7,71,Bmw,Serie 5,Bmw,Serie 5,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09,WGxHeCtTZlB2ZER5R3R2amNVdVpYdz09
7,514,Bmw,Serie 6,Bmw,Serie 6,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09,eVp4UnZ5dlRkaFJSVkpHb0VDSWI4QT09
7,177,Bmw,Serie 7,Bmw,Serie 7,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09,cTcvWjhybDIxejNtT3VRZjlta0RSQT09
7,178,Bmw,Serie 8,Bmw,Serie 8,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09,VU5SQklRY3Q5dHBhakVMNHV3ZE5lUT09
7,944,Bmw,X1,Bmw,X1,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09,bDk2S29CTDRYTllYQ0xGdWUrbXE4Zz09
7,1241,Bmw,X2,Bmw,X2,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09,cllObVBXRkVCbU5sS240TTIyZHhRZz09
7,515,Bmw,X3,Bmw,X3,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09,dmhjWXY1YjhORGhLSHdLTzBRNVladz09
7,1119,Bmw,X4,Bmw,X4,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09,YlZNWE5GMEczOGZ3dkk2MnZicFRUUT09
7,438,Bmw,X5,Bmw,X5,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09,UWd0bXRiUEVhWkNTcWdCb2J3cFJzdz09
7,880,Bmw,X6,Bmw,X6,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09,TGoraVpzdDBaOTJaaEE1RjRwbVZzZz09
7,1259,Bmw,X7,Bmw,X7,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09,dVRwVlEvUHo5M3IwM2M0cm1xOWsxdz09
7,1445,Bmw,None,Bmw,None,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09,None
7,864,Bmw,Z1,Bmw,Z1,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09,None
7,282,Bmw,Z3,Bmw,Z3,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09,SXZOQnl2NktaN3RET1Y2eU5qM05kUT09
7,291,Bmw,Z4,Bmw,Z4,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09,d3luSGxBRWRUY3ZFVXlaaW5LNzhzUT09
7,394,Bmw,Z8,Bmw,Z8,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09,None
1345,1061,None,Veyron,None,Veyron,None,None
1352,1480,None,None,None,None,None,None
1352,1492,None,None,None,None,None,None
1352,1112,None,None,None,None,None,None
1352,1482,None,None,None,None,None,None
1352,1509,None,None,None,None,None,None
1352,1536,None,None,None,None,None,None
1352,1479,None,None,None,None,None,None
8,549,Cadillac,BLS,Cadillac,BLS,dzZTUW5DamNpVVU2RkVWUldOTkg1Zz09,None
8,504,Cadillac,CTS,Cadillac,CTS,dzZTUW5DamNpVVU2RkVWUldOTkg1Zz09,ckZQeEhsaDBVTHNhdVFGME90SytxUT09
8,240,Cadillac,El Dorado,Cadillac,El Dorado,dzZTUW5DamNpVVU2RkVWUldOTkg1Zz09,None
8,547,Cadillac,Escalade,Cadillac,Escalade,dzZTUW5DamNpVVU2RkVWUldOTkg1Zz09,L1UyS0d1WVorRmhsRWNwODVmdkpuZz09
8,238,Cadillac,Seville,Cadillac,Seville,dzZTUW5DamNpVVU2RkVWUldOTkg1Zz09,c3JVcFEyTGRadU5lUnRuMnRSOWREUT09
8,540,Cadillac,SRX,Cadillac,SRX,dzZTUW5DamNpVVU2RkVWUldOTkg1Zz09,None
8,239,Cadillac,STS,Cadillac,STS,dzZTUW5DamNpVVU2RkVWUldOTkg1Zz09,None
8,519,Cadillac,XLR,Cadillac,XLR,dzZTUW5DamNpVVU2RkVWUldOTkg1Zz09,WkFYLzFUTGZ6bmw5NThWOUR0MjdyUT09
1415,1473,None,None,None,None,None,None
1415,1471,None,None,None,None,None,None
9,384,Chevrolet,Alero,Chevrolet,Alero,Y3pSeWFYc0JiMW96OVZ0WWZMMjRHUT09,None
9,245,Chevrolet,Astro,Chevrolet,Astro,Y3pSeWFYc0JiMW96OVZ0WWZMMjRHUT09,None
9,502,Chevrolet,Aveo,Chevrolet,Aveo,Y3pSeWFYc0JiMW96OVZ0WWZMMjRHUT09,eisxaCs4TnNWUGNyRUlqVVFqSEhPQT09
9,244,Chevrolet,Blazer,Chevrolet,Blazer,Y3pSeWFYc0JiMW96OVZ0WWZMMjRHUT09,None
9,367,Chevrolet,Camaro,Chevrolet,Camaro,Y3pSeWFYc0JiMW96OVZ0WWZMMjRHUT09,ZS9hK1FjMDYwR0NWdWdJc084VzlKQT09
9,592,Chevrolet,Captiva,Chevrolet,Captiva,Y3pSeWFYc0JiMW96OVZ0WWZMMjRHUT09,cjNDbnp2TjJZNzVPOXVCc1pGUzdSQT09
9,243,Chevrolet,Corvette,Chevrolet,Corvette,Y3pSeWFYc0JiMW96OVZ0WWZMMjRHUT09,YWlxTFdteEVadjRzTDhQOXN1bVhjUT09
9,1089,Chevrolet,Corvette Stingray,Chevrolet,Corvette Stingray,Y3pSeWFYc0JiMW96OVZ0WWZMMjRHUT09,None
9,932,Chevrolet,Cruze,Chevrolet,Cruze,Y3pSeWFYc0JiMW96OVZ0WWZMMjRHUT09,SUxpK0pLMnRYRWVyMFlMWXIrZjNVdz09
9,584,Chevrolet,Epica,Chevrolet,Epica,Y3pSeWFYc0JiMW96OVZ0WWZMMjRHUT09,SUg3dytpUTQwVm9zR2NTSjk4Y0psUT09
9,364,Chevrolet,Evanda,Chevrolet,Evanda,Y3pSeWFYc0JiMW96OVZ0WWZMMjRHUT09,None
9,886,Chevrolet,HHR,Chevrolet,HHR,Y3pSeWFYc0JiMW96OVZ0WWZMMjRHUT09,None
9,501,Chevrolet,Kalos,Chevrolet,Kalos,Y3pSeWFYc0JiMW96OVZ0WWZMMjRHUT09,QVRsaFVhbitwNVlZWVM1MThZaGxEQT09
9,517,Chevrolet,Lacetti,Chevrolet,Lacetti,Y3pSeWFYc0JiMW96OVZ0WWZMMjRHUT09,elpPYTFjM0J2U2xwZFRWdTk0TDZBUT09
9,1029,Chevrolet,Malibu,Chevrolet,Malibu,Y3pSeWFYc0JiMW96OVZ0WWZMMjRHUT09,WlZ2RXdwTzZyQU1GR2JHQjZDcFI2QT09
9,374,Chevrolet,Matiz,Chevrolet,Matiz,Y3pSeWFYc0JiMW96OVZ0WWZMMjRHUT09,UWFQajFmTTFPT284NENrSXY1RWRtdz09
9,297,Chevrolet,Nubira,Chevrolet,Nubira,Y3pSeWFYc0JiMW96OVZ0WWZMMjRHUT09,None
9,988,Chevrolet,Orlando,Chevrolet,Orlando,Y3pSeWFYc0JiMW96OVZ0WWZMMjRHUT09,Y1lmYWJnZkg0Q0V4RHNwc2lVMmtBUT09
9,954,Chevrolet,Spark,Chevrolet,Spark,Y3pSeWFYc0JiMW96OVZ0WWZMMjRHUT09,ajd6WUJETEU4aytBUWJxV3EwNS9mZz09
9,444,Chevrolet,Tacuma,Chevrolet,Tacuma,Y3pSeWFYc0JiMW96OVZ0WWZMMjRHUT09,TkR5b0I3YlY5M0loRCtDS0ZYUzk0UT09
9,440,Chevrolet,Tahoe,Chevrolet,Tahoe,Y3pSeWFYc0JiMW96OVZ0WWZMMjRHUT09,YWdvSVhUSjM0WHg3OVNiUnZsbWU4QT09
9,451,Chevrolet,TrailBlazer,Chevrolet,TrailBlazer,Y3pSeWFYc0JiMW96OVZ0WWZMMjRHUT09,None
9,366,Chevrolet,Trans Sport,Chevrolet,Trans Sport,Y3pSeWFYc0JiMW96OVZ0WWZMMjRHUT09,None
9,1070,Chevrolet,Trax,Chevrolet,Trax,Y3pSeWFYc0JiMW96OVZ0WWZMMjRHUT09,bkFqTGw1cHpwZlVvNnNUUEhOOWxpQT09
9,1014,Chevrolet,Volt,Chevrolet,Volt,Y3pSeWFYc0JiMW96OVZ0WWZMMjRHUT09,None
10,520,Chrysler,300C,Chrysler,300C,NU41SDA2NUZQQVFyNmE5WC9wUWd2dz09,R2twbW10ZG9wZXJZZjBKdHFoTThQdz09
10,119,Chrysler,300M,Chrysler,300M,NU41SDA2NUZQQVFyNmE5WC9wUWd2dz09,QXVVamhVQm42TUs1MDJFbHNEL1Rjdz09
