label,cochesNetId,milanunciosId,wallapopId,cochesComId
MAHINDRA,246,Mahindra,Mahindra,WjZTamQySzFPUk9zT2hUbUtXZko2UT09
MASERATI,26,Maserati,Maserati,cW1oa1hWbHd1dHNBYUVLR1hiVWJJZz09
MAXUS,1403,None,None,M3E0dEQ4d0RtbDZrM2V1ZDMyV0N5QT09
MAYBACH,1323,Maybach,Maybach,None
MAZDA,27,Mazda,Mazda,TWlnOC85bDUwdFBlYkF0aTNxL0dmUT09
MCLAREN,1347,None,None,None
MERCEDES-BENZ,28,Mercedes-Benz,Mercedes-Benz,RTE4d1UyZ2tuM1J5NEpnN2h2TWNRQT09
MG,29,Mg,Mg,UEtHRFJYbUtOZXZpOUp5NDltNUZJUT09
M-HERO,1428,None,None,None
MICRO,1433,None,None,None
MINI,222,Mini,Mini,d2wzc2V2UktReGgwMHVtNEVrUm0xdz09
MITSUBISHI,30,Mitsubishi,Mitsubishi,Q1o0OURsamJXQ2tYRlZLK3g2ME5uUT09
MORGAN,149,Morgan,Morgan,d1VHbnhEZk1KaWZUT2FaSzJ0MUI2Zz09
MW MOTORS,1419,None,None,None
NEXTEM,1417,None,None,None
NISSAN,31,Nissan,Nissan,cVJNcDFndlh3NGpGV3cxVlQyMVNRZz09
OMODA,1420,None,None,VlU0VDgyYUlqYWIySVlrWjU2cURhZz09
OPEL,32,Opel,Opel,M1ZldjBpN2NXUW1JbzJIWVVYV0lPZz09
PEUGEOT,33,Peugeot,Peugeot,MUY1TktUZHJVVVVhTXZzNW9ZbVBRQT09
PIAGGIO,87,Piaggio,Piaggio,OGpWaUFFQWFFb2taVXFUY2NoUWhtQT09
POLESTAR,1402,None,None,UFBaNjFwdUdmTGFyM2ptUnBEYkRxUT09
PONTIAC,112,Pontiac,Pontiac,SVo3eW9TdmlBZWs2ZGhGYVVTbDN6UT09
PORSCHE,34,Porsche,Porsche,SG8xLzJTcFQxNUE5anZpTHdlN2tsdz09
QOROS,1348,None,None,None
RAM,1372,None,None,None
RENAULT,35,Renault,Renault,cGxsWUkzNnRsczVjWmJ0clVNa3J3UT09
RENAULT V.I.,1329,None,None,None
ROLLS-ROYCE,36,Rolls-Royce,Rolls-Royce,TzhaOVdLejB3STJDdVJkL0ZlQnVFdz09
ROVER,37,Rover,Rover,TFBZR0hYZmg0dzNTb2wrNC9ONTF1dz09
SAAB,38,Saab,Saab,SWs3dFgwYk5KUXJIVzErZmdYYUpxdz09
SAIC,1399,None,None,None
SANTANA,1328,Santana,Santana,QlYyVTUvVmZpK3U2a3JKOXJGOVFrUT09
SEAT,39,Seat,Seat,UXMza1hTZVMxMjRENWVFNzJvVEsvQT09
SERES,1422,None,None,NE1VQkZybWpQRlY1aTJ1VEJ4dHVyUT09
SKODA,40,Skoda,Skoda,M3pIdHI5TTY0Um1vbWpmdGdRRU5zZz09
SKYWELL,1425,None,None,None
SMART,41,Smart,Smart,Ykp2aXFqd0Q0dXM5TTdmWjZCN29iQT09
SSANGYONG,42,Ssangyong,Ssangyong,UFdaVDVROFZYVXRmdTArYnl2UHZMdz09
SUBARU,43,Subaru,Subaru,U1pUMzZBWnh2M0dlcmt4RUkyWFhmdz09
SUZUKI,44,Suzuki,Suzuki,OWgzb0QzSVlobVlxZTk4MzhxTkN1UT09
SWM,1411,None,None,cFpHdUQyZGFiclFkaGtsdGRHRG9IZz09
TALBOT,156,Talbot,Talbot,None
TATA,45,Tata,Tata,None
TESLA,1354,Tesla,Tesla,SlJEd0xhcmp6NE8raS9saUxTdzc2QT09
TOYOTA,46,Toyota,Toyota,cHE3cjZlTXZ0a2I1a0FtT08wK2Q1UT09
TRIDENT,1353,None,None,None
UMM,1324,Umm,Umm,None
VAZ,1325,Vaz,Vaz,None
VOLKSWAGEN,47,Volkswagen,Volkswagen,Rmt1aVBPQ2tlZTh3UWo1Wlh4WDhodz09
VOLVO,48,Volvo,Volvo,ZWE0VEgvV0hBM3RoWmc2bEE4ME4vQT09
VOYAH,1426,None,None,None
XPENG,1435,None,None,None
YUDO,1421,None,None,RE9pdnF4M1ExTTlsZmw4ZndMQ0xNQT09
ZHIDOU,1418,None,None,None
