uuid,type,text
SlJEd0xhcmp6NE8raS9saUxTdzc2QT09,make,TESLA
Y3pSeWFYc0JiMW96OVZ0WWZMMjRHUT09,make,CHEVROLET
Q3ZrVUVsRzdkQVk0UUs3WWdTakcwdz09,make,INFINITI
bURlM0NkcEtJSGk3emw1RXhxOTRuQT09,make,EVO
Y1JocEEvekl4dW04WkhEcXB5WXhxdz09,make,DFSK
dDRQWW1jU0p4K2NxVVpJUmNya2kzUT09,make,DR
cW1oa1hWbHd1dHNBYUVLR1hiVWJJZz09,make,MASERATI
NU41SDA2NUZQQVFyNmE5WC9wUWd2dz09,make,CHRYSLER
cjhmTjRNWE1qNStkaXAxdE9idkNuQT09,make,BENTLEY
VlU0VDgyYUlqYWIySVlrWjU2cURhZz09,make,OMODA
Vmw0c3ZRcW1FSVhOU2xEZm4ydEZzdz09,make,FERRARI
V0pia0JxRGpOSE1PaU00R0YrbDhnUT09,make,LANCIA
anQ4SVVGMUs4eEN2ZXZFUXNjOGFSQT09,make,BYD
cFpHdUQyZGFiclFkaGtsdGRHRG9IZz09,make,SWM
SWs3dFgwYk5KUXJIVzErZmdYYUpxdz09,make,SAAB
M3E0dEQ4d0RtbDZrM2V1ZDMyV0N5QT09,make,MAXUS
Nk1UcklZYWFGY3B6U2kvSDd5blR1dz09,make,INVICTA
Mzc0MnlSaW42U2lGRzBVSmk3K3RDUT09,make,DODGE
OEUySUwyZzdoZlFkUGRDdHNLckNtZz09,make,ISUZU
clhpOFhpTVJzenBNeVdQUTk3MmJrZz09,make,DAEWOO
d011WWxXSnl0SWF6aWdYMUhIdEkyQT09,make,LAMBORGHINI
WjJUQWJCOFVOZm5IV1dDQmdaSTBhUT09,make,MAN
NE1VQkZybWpQRlY1aTJ1VEJ4dHVyUT09,make,SERES
RE9pdnF4M1ExTTlsZmw4ZndMQ0xNQT09,make,YUDO
WjZTamQySzFPUk9zT2hUbUtXZko2UT09,make,MAHINDRA
eGFWTXdsSXhCU1llMzN2akdTeEhkZz09,make,ASTON MARTIN
TFBZR0hYZmg0dzNTb2wrNC9ONTF1dz09,make,ROVER
Y0pOWTQwMjdXekR4a3NSRU9Xcms4Zz09,make,ALPINE
dzZTUW5DamNpVVU2RkVWUldOTkg1Zz09,make,CADILLAC
aEFxK2g2K3NoRWhrTmdmck5jTlA4QT09,make,GALLOPER
d1VHbnhEZk1KaWZUT2FaSzJ0MUI2Zz09,make,MORGAN
OGpWaUFFQWFFb2taVXFUY2NoUWhtQT09,make,PIAGGIO
Wkk2N2diTG5JRnpnK0RlbVNEUjhlQT09,make,AIWAYS
NHRaL3pYdkZQNTlEUUJCL2FOcEJoQT09,make,LADA
V0JKamhqcmI4U1J1NjZzeW9VVHgvZz09,make,LOTUS
UFBaNjFwdUdmTGFyM2ptUnBEYkRxUT09,make,POLESTAR
QlYyVTUvVmZpK3U2a3JKOXJGOVFrUT09,make,SANTANA
R3g0V1ozTy9YME15ZFlCQ0p6Um5qUT09,make,DAIMLER
NTRnT1UrMmp3NEl2bEppdTVQL01NUT09,make,HUMMER
SVdZcVdJbEsvQTEzOGJwb3NPYWdEQT09,make,INEOS
QnJzcHZFSUtyWWFtcG9WdTJQUGppUT09,make,JAECOO
NC9TcFp4eUpTazVKc1hUTFQ1Q0lpQT09,make,LEVC
SVo3eW9TdmlBZWs2ZGhGYVVTbDN6UT09,make,PONTIAC
TzhaOVdLejB3STJDdVJkL0ZlQnVFdz09,make,ROLLS ROYCE
UFdaVDVROFZYVXRmdTArYnl2UHZMdz09,make,SSANGYONG
eG1zZzZsdVBqa2hyVWMvTTd3MjhFUT09,make,WARTBURG
