uuid,type,text
ZGErVWwrY3Q3MFluNnY4amhNM3RvQT09,model,AUDI A8
N1RDUWoydEdtVUIxaHhkdGNDOFJOdz09,model,SUZUKI Ignis
NXVnckV3Wlk4Y0lVQjlZMno1ZWMvUT09,model,DACIA Spring
YWhlSVB1MzQ4MzBUa1crS1JKVnNwZz09,model,SEAT Mii
NkszeHh1MFJyNENhY3RxSDBPMzZndz09,model,TOYOTA Verso
NGFibnhlZHEwRzYxMHFPdXA5MGZvZz09,model,CUPRA Born
NzFEWDRSeW9mcFFiMEpmOURzQlVXZz09,model,HYUNDAI ix35
NHNxQklYS20vMW04d3p2TnhVemdoZz09,model,PEUGEOT 206
NldjWWFVS1AvdGRXMUN1OEtyNjYvdz09,model,FIAT Scudo
WmZrMmlkbnQ5WVc4VjQwWG1ZNWsxQT09,model,HONDA ZR-V
MmcwMmVTbGRON1FpMWJvL1I1b2ZwZz09,model,VOLKSWAGEN Sharan
L3BieFkyQ01qclROYTNOZGg1Zk16QT09,model,VOLVO S90
RWJkYzFUUVlhZUVqQkcrdEdYMUJ0UT09,model,VOLKSWAGEN ID4
VjR1aDFqUzZURnFUYjY1Y0VCRmNoQT09,model,LEXUS RX
SnFEL3M0ZVBUUEF6QjBjM04vNDRudz09,model,RENAULT Laguna
RnNkTnpmY0UzWHNFN3d2NksrOE00Zz09,model,SSANGYONG KGM Rodius
ZElVbURiK1c0YVo2MEw2OHZtOGV1QT09,model,ALFA ROMEO Giulietta
MW1PSjZ5UEJhLzZGcWdFVFErY1BHQT09,model,HYUNDAI Ioniq 5
Wnd3MjFiQmc5OWVZU3ZVVFlPZTRiVjB2YXJCZXlkQXRMSEdRY2VaWjBQWT0=,model,MERCEDES Clase CLK
MzU4SUFoekpVN2l5S1F1Z3A5bk5yTHlTZ20zcnVaTlhCY0lia0lLUFhvWT0=,model,MERCEDES Clase SLK
bnQxWjBPNHZFQlpyY0poV2U3QzZiUT09,model,TOYOTA Prius
dm9xYi9jaW8wYTRObHBqV3p1bjBhdz09,model,DR DR 4
bUVNSDBEVlVzaHJraDNHYTdIMzdiclU3NW84NTZtWitZRENxY0gwK3BmND0=,model,TOYOTA Proace Verso
NkVFNmtVNlZTdFlHRlJGV3d2TTVFZ3duS2Q0OFR0NWQ4NGdISVhhOGlvTT0=,model,AUDI A4 Allroad
eE5JVXZwQUNuVTJmR2h1SnRHM3Y1dz09,model,KIA Soul
d0lJaXFsTjhZUDY4Wm0zVVBEV0tFQT09,model,LEXUS IS
cTR0NFVPeHR2RWRYSG9GYUcvaHN1UT09,model,SEAT Toledo
c1c2SzJmb2RJanh5dlhOd2VyS0RSQT09,model,INFINITI Q30
dFhURkk4U3VpMTVDTnNRNHNodHFMQT09,model,MG 3
emIxNkNOVmlmUUhDN3hJNHlLbVBHZz09,model,SUBARU Outback
TlF3U0FvN0Zzay9vaUZhZFEvcDl3SnZpazZ3RVZJWkk4R3h0dy9lVnc3bz0=,model,TOYOTA Yaris Cross
dlF1N1kvcFNEOVRVM09VZGsreHZHdz09,model,VOLVO EX30
amJuR3RsNTl1SXl5WlNXNmpVODZUU1JSTlQ0RGxVNVFQL2NzYjZ5TUc4TT0=,model,VOLVO V60 Cross Country
VFR5K2xpK2tzMWd1dmdTTHRGV2N5dz09,model,NISSAN Note
MVk1Vk5jeWpvSi9XNTFSL0tHekgxMDZmMGFiUURVZ01QK2QrSTBtekt5VT0=,model,NISSAN Primastar
SFdqbDF0a2dxeVVMb0d2bTFESlYxUT09,model,RENAULT Koleos
WnhsZ1B5UmR5bjJRc0FEb3pXMXphZz09,model,VOLKSWAGEN ID5
bVJ2TG4xS0o5cFpjaXZ0V2FLRnhsZz09,model,AUDI e-tron
OVliamgzaHJlNS9wRmdCWU85cUo3Zz09,model,SMART 1
WXAycXpkY2pwZ0NucXNySHpUbFNFUT09,model,NISSAN Pulsar
VExsL0lvLysrTDk5L3Vna3RCanB6Zz09,model,PORSCHE Boxster
cGpDNVhjZjA4aWhnYXRaQ2pOUjRFQT09,model,SKODA Rapid
Mzk0UmVhSU5TeDRRNThLQVZVaENjdz09,model,ABARTH 500
NHhIUUsvay9nWHRYWWt6SVRMT3JFZz09,model,DS DS3
QkRDSjdmbVlJVVZGRGhGd1RnTG9qQT09,model,KIA Optima
RjJDbXRBTi82VjF4MjM0UW0ra2lyQT09,model,NISSAN Navara
dk1jeWpmSGg5aEhqV2hEQXppODlGUT09,model,OPEL Meriva
OUpCZTFzdEFTbHVMeUNSVHZaSWhxZz09,model,PEUGEOT 108
dTZUZGlQR2VkaWZYS2hwbkpTM0x6UT09,model,DS DS9
cE5hZHVIWUo4b0IvcVpRK1piVUJoSStWeThEWWs3c3IrSkJ6RjBtMnhaUT0=,model,FORD Tourneo Custom
bVVFcGY0eHc1empTZkQ1UjVkeGRIdz09,model,MERCEDES Viano
WTR2MllQNHNZYVh2TVhRWUlLRSs2UT09,model,PEUGEOT 3008 SUV
UzczNTJjNU13NXpQV0hJVlkyWS83Zz09,model,EVO EVO 5
YnZnZ21DQmUxNUVTakE4N2F0V3M4QT09,model,OMODA 5
cHVnY2VjUUdnK2NWMForRklSMVpRdz09,model,JAGUAR I-Pace
Tk1EU0F0WmMvV2VPUzl1Ris0aWRtdz09,model,AUDI Q4 e-tron
VjRXTVFtVlFUbTM5VGxMQ0ZnRXlhUT09,model,TESLA Model S
cWNvako0eHZDM29xTW1rQzhFS0hlUT09,model,VOLVO V90
Rk5zV3RWb0xNVkVVMEFBN3A2ZDk4dz09,model,MERCEDES Clase G
Y2V1Q2dKcllURkZsdHpJTzcrRVAxQT09,model,MERCEDES EQC
a01zVzlMS21iTklhSDk3c0taaFVRQT09,model,MITSUBISHI Montero
UUxwVEU2ellraGE0TG1mcHgySWE2Zz09,model,VOLKSWAGEN Up
dVRwVlEvUHo5M3IwM2M0cm1xOWsxdz09,model,BMW X7
d3luSGxBRWRUY3ZFVXlaaW5LNzhzUT09,model,BMW Z4
cjNDbnp2TjJZNzVPOXVCc1pGUzdSQT09,model,CHEVROLET Captiva
eDk1UVpleTlwVkJqMDVla0xnM3pOZ2xmakcwOVZmNjVXZ1BnWWNNUFVZZz0=,model,DFSK Glory 580
dUNSa25tT0dWTzVjL2pFMmMzTWZpZz09,model,KIA Pro Ceed
bWlob3JmdlhwcUZzVnBrc1lVUkhKOVc4cDlWZVNsR1g2Vkp1SVlIenE0Yz0=,model,LAND ROVER Freelander
b014Q0Y4bytQSFdWZTJBUkxrY2tTZz09,model,LEXUS ES
eDNQMUFoZVdkRDhRU3MxZjlLRFJMUT09,model,MERCEDES AMG GT
a052SGVsZXFqMlBUalNqbUN0bGkvZz09,model,NISSAN Ariya
aW1UMjNCdCtqcnRxNFhkZGI4czE1T3FmeHhMSHE2TW0zdXRBQzduWnlMbz0=,model,RENAULT Espace SUV
alNxWG9zRGhuQ2h0cXlxbjhDRkwyZz09,model,SUZUKI Jimny
YWxIdjlPbFdXMy9YaXBnOU4zYTJHQT09,model,TOYOTA Camry
TWh2T0F4ZEx3K01ickhOZWdFQ2R1UT09,model,DS DS5
K2lBdjV2aGRJNFBBc0RFZSttblpOZz09,model,MASERATI Levante
T0ovc1V2b3UzWVFIV2xZek5mbVhOdz09,model,MG Marvel R
N3lJWmJEZ0xQVWYvT3hUaVdCWUt3Zz09,model,SSANGYONG KGM Rexton
eGNCdysvUHhXM1lkTHl3Sm4rRzI1SVNXMGx5V1hnelJOdjZFZzFqTUs5ND0=,model,VOLVO V90 Cross Country
VU5SQklRY3Q5dHBhakVMNHV3ZE5lUT09,model,BMW Serie 8
SUxpK0pLMnRYRWVyMFlMWXIrZjNVdz09,model,CHEVROLET Cruze
b3dnQUhUbythcHRjRSt2UEpUaytFQT09,model,CHRYSLER Voyager
eXB3OGNEemxIYmY2Z1V0MFNFc0xFdz09,model,CITROEN C2
N1FzRG8zaEhEMyt5L1UveElQV09kUT09,model,FORD Connect
a3VrQmhSZWtCWTl6YkJtb0hmSHdxdz09,model,FIAT Qubo
SkJ4SERWbjJFQnlhVlg5ZGdKMUpySWt6YmRFaXZVQkYzS2VXVlEvdk1YTT0=,model,SEAT Córdoba
WFNvdzB0RUZWc1FWb29ha3JHWGI4ZWxvcDg5UmtaejFlV1MrNlNnOUFGaz0=,model,SUZUKI Grand Vitara
ZDF5WHhPbURNcmxoeDZBSDhXeFNJcXhaUkllWUUySlBnUDRCQlZwZ1BuYz0=,model,BENTLEY Continental
VEFwUGVnMW9jRFZoSFFneUJjUU1DUT09,model,HYUNDAI i40
RkVmVU00RVE0RFNnZGNSd2ZQNlYrQT09,model,OPEL Vectra
eisxaCs4TnNWUGNyRUlqVVFqSEhPQT09,model,CHEVROLET Aveo
THliSisybHNkc1NrR1Bqa1cySjdRUT09,model,FORD Explorer
NlJWcW93blhxMm1sc05LL3JRQzJrUT09,model,MERCEDES Clase SL
UDdhQW5wVVZKcTV0WERLb1JqWXp0QT09,model,MERCEDES EQV
RmsvOWJYSEpOc1B1RWZoY1pUcEhmZz09,model,VOLKSWAGEN Eos
ZnZFWlFXTHdaK0kxRitwVWI1Mm5Ob095dVhJbEg0aXhiUEthTVUvemg3dz0=,model,VOLKSWAGEN Passat Alltrack
VGNlWWxsWWV4V25Nb1BxMUs4T1ltUml0Q2JKVmdvTk1ha1ZoMkdmS0lQRT0=,model,AUDI A6 Allroad
cDhnUWlJbzZYYmVGOFFrcEJXbm1HQT09,model,DR DR 5
ZGwxMmZ6czc2eEdIMFlGZkthKzQ0Zz09,model,EVO EVO 3
emZDVUhTZ2t4TXlSUFNQSkpGZERldz09,model,HONDA Accord
Y3QvRGFodFFJRkdDTk9IQXhvUUFIQT09,model,SAAB 9-3
aDA4dDNiWHR3VXpJRzNUNlNsN1JWUT09,model,SKODA Yeti
Y3d0NzZwdExVd3lKWXd5QkFQd3ViNXk5dDZUcnpkSzZmM3VsODJtNEdnWT0=,model,DS DS4 Crossback
TkF4Y05md0JjZ0RjM3hGRUFxbTRLdz09,model,JAGUAR F-Type
L2RtYlMrRHBEaEpCeWdYMUdvVTFtQT09,model,KIA Carnival
aGszS1VFeUlGUkh3eEUvMzJlNmZ5Z3piY3N0aE1UNUd1RnQzT3IxM0trMD0=,model,MERCEDES Clase GLS
QTVIbXpDKzJyajB3eHF3ZG1wM0FNdz09,model,NISSAN NV300
VitNZURpQ3B1VlNnNVhta3NyN3RoZz09,model,SEAT Exeo
Q1NvaWVac01SaUEyVjZDNGRlbjFqVFEwTW1HdjB5eHg1eXh0ZnBZbU9NND0=,model,VOLVO V40 Cross Country
ZFluMXcwSHYzdDFRQzRNWDE2Yi9KQT09,model,DFSK F5
bno4ZEVpU2ZtYnhWaXVRQXpaWFFsZz09,model,MASERATI Ghibli
Unl3bTZJOEFlcm5pNnM2OXRHbWlnUT09,model,MERCEDES EQS SUV
MnQyQVptVGcxQXpUNlc2Yy9XZi9Kdz09,model,NISSAN NV400
RHJXLzhjWWxLZWU4SkVBSWh2b2d1Zz09,model,OPEL Cabrio
aEk0bUhRekpXRzY4M0ZxWlMxaytBUT09,model,TESLA Model X
WXZkTFlVUUlnL1hNNkJtbHpHYWk2Zz09,model,VOLKSWAGEN CC
V1ZuaFdFYy9DNXlaOG04VjFUV01ENTVWZlJTWkdnenlwNnpLd1JuMHMzcz0=,model,CITROEN C4 Aircross
MkFTZ1BqQTZ2N3hJQ3ZuOUJid3pRUT09,model,INFINITI Q50
Y0F5QjBnUVNqWU1vVklhVVN0MTRpUT09,model,JAGUAR XJ
MVRJOWt3WkVsTG0vLzdmVnZNSGYxdz09,model,JAGUAR XK
UlprSXR2NmUyaWxiTXRGakVkcWZPdz09,model,MAZDA CX-7
aVB0Y0VNVVVab241ZVd0a245VTRYUT09,model,NISSAN Patrol
cXl4a2h2RWhGL0c5VVNKVHdTcjNzRFp6SlZPK2VRQ1YxaGh6SFU1eExxUT0=,model,PEUGEOT Bipper Comercial
bWNzNmVPb0JONnRibXVTNkJaWE1lUT09,model,SKODA Citigo
aU5nZzdSemxJc2FMSE5xd3cyN28xdz09,model,CITROEN DS3
anhWTVhpVlcvSVMvZUNXallUNHJOQT09,model,DFSK SERES 3
U3ovTFdZR2V3MVZ6SThQK3ZUTjRxZz09,model,HYUNDAI ix20
c2hUb2N5L2tURTQ3eCtqRXZ0MzNMZz09,model,MERCEDES AMG SL
MXdTY1JudVhocCswUzFDRVc2SkRiZz09,model,PORSCHE Cayman
b0RFTHhTOUIwdTllNmxjcWJ2aUhxQT09,model,SKODA Enyaq iV
N0VHTmwyR0R4OC9TbXU3QkZSMUYzT3I3ZWlqaFg5MDZPbWNtb2dRSHZFdz0=,model,SKODA Spaceback
alR1MDVlaXlQU3lkZlBEUEhPTU1VZz09,model,SUZUKI Swace
MXM3WlRTSVYyUjVjOWVsZDJGN2NhUT09,model,SWM G01
YTlSRTc0SExRS1RZWmIvTkRLTDRTd09TbjlyV29DSXFFWDdQLzFVR2lCaz0=,model,TOYOTA Aygo X Cross
SXZOQnl2NktaN3RET1Y2eU5qM05kUT09,model,BMW Z3
VEhvTExISmVodGUzbmJ3d1pJV2toZz09,model,CITROEN Nemo
eHVybG8rdnVsSkJ1NGFTNjQvS3RCZz09,model,EVO Cross 4
R3hTdjV0bnRwTVVVdmtSUnBOaktTQT09,model,MERCEDES 190
aWkrQ2x4TkVNUDZtMGs4TmpML2ttQT09,model,MERCEDES EQT
QmF5V3dLT21qN3N2ckFRRjZYR0Z0SENqU05WeEpsMHFSWEtoU05acDU4bz0=,model,MINI Mini Clubman
cmgwL2prWnlDVnhTRlM2MjRmc08vQT09,model,OPEL Antara
ZjNFZGZvWXdqSkJ6RXhBMlhGL3NHZz09,model,RENAULT Twizy
Qk42Qkt0eE1EYWIyd25rdkc0d1o1Zz09,model,SSANGYONG KGM Torres
UDZTOWNNVmdhRWg2aEFIdlhrL0xYeUtGV0oyMTBXTmdwZGd2NXRVZ011VT0=,model,SUZUKI SX4 S-Cross
djY0TDI4QmVOQ245VTlmclo5Wk45UT09,model,TESLA Model Y
bDRXSFZ1UEcrc2JsMVpldytLYkRlQT09,model,ALFA ROMEO MiTo
OFcyMkw1YXRjQW90aWpySWM5MDZIUT09,model,CITROEN DS4
UUxqc2ZpS0g1K01lL2RGa1NvU2ZBUT09,model,DFSK 500
UW1BeDR5N1k0R09qQ2tscVg5di9nUT09,model,FIAT Freemont
OHFrU0g0RmptcDZhQ2xhYUJFVmpRdz09,model,FORD B-Max
QUQ2ZnduYnJObUxINTdINnNNdHFKdz09,model,FORD Bronco
aTc1L3RxSXhBSVB5ekUrRFVZQlI1QT09,model,FORD Edge
YU1qNFFwL2l0STMwemI2YS9lSkZQUT09,model,HYUNDAI Elantra
djZFb3B3NGJ5WTIwanJiUno5NXB2Zz09,model,INFINITI QX30
cFBqeVZ1NXZLSGxtVE9YNXI1d1ZzUT09,model,LEXUS LBX
S3Q1T0tvTDdHSEk2c2RENE1JL1ZrdmtYRzRtMjRXQ1hTekZvTitmRVhIRT0=,model,MERCEDES Clase CLC
WjZsNWVWZ0J0OHAvVWVMeGdzUW9FQT09,model,NISSAN NT400
ZFdSVjk1REdMNHFSdjlYeWRKSVdpdz09,model,OPEL Combo N1
ZXYza0RVb0d3TkJrOCs3cEZJVzdwUT09,model,PORSCHE Taycan
K1lhQmFvNVFMSkQ2VEhiL3E2YktNZz09,model,RENAULT Rafale
N04vM2RDNE5wU05CeVJJSStXbitzZz09,model,RENAULT Symbioz
TTUrbzRCSWZEUXVLQXNkVmgvTkhRUT09,model,SUZUKI Across
UEtZeEdRVTNmVEVpb2c1SDlzaFhQdz09,model,VOLKSWAGEN Amarok
cUp3SWxMZmoxQUg5QU9uUjZibkJKQT09,model,VOLVO S40
TEVnVmxjcXNpbDBOQ25NZjBFYUlEQT09,model,HYUNDAI Getz
RmdtK0ZoWDVwRFl5d2hWZkVEYlRPdz09,model,LANCIA Ypsilon
UkxWRDJJMlR0alVaM2NBM0FKTFZ3dz09,model,LEXUS LS
UFU0THJkRkFxeDBETjR1OHZ4NTFMZz09,model,NISSAN Evalia
dnErY3VkVCtTUG1TTFYxK1NVOFhjdz09,model,NISSAN Murano
TGxVeFJnNHUzanlrcy9tK2p1VmdHdz09,model,NISSAN NV250
a0lFdTA5cVhYMElWRUJEbUZUZVFpUT09,model,NISSAN Terrano
Tnc2QW9wYUI2eUpBU2lNM21jWk5hUT09,model,OPEL Frontera
YUtFTVlqY3cydTRUckxHSWJTRE05QT09,model,SUBARU Impreza
S25yanRmeVFxSjkyUzRBeFZ6V0xxdz09,model,TOYOTA bZ4X
WmNocHk3K0M2V1ZoTjdOalUrN2xtUT09,model,BMW i4
UmtIcnRTbkt1QU1OT1VQQkFRMExLMnhFL2w5Vmt0T3JOVUQyb0daemRvYz0=,model,HYUNDAI i20 Active
ZDd6cG95WHc1ZDNCbWhPbjBGV1R5dz09,model,JAGUAR X-Type
REsybmxaYjc3TkJWUkRLL0txUTVwdz09,model,LEXUS RZ
Zmw5Yy84cGxTTkJtelI2dmJEd2EyUT09,model,MAZDA CX-80
Z3dOZUgxSjVPNkc2MkwxNS9oTTRmdz09,model,SMART 3
eksxNnJiRW5oNS9pWndIVWlKc0tMZz09,model,VOLVO V50
QS8wa2hqNEVkaWFKODdXMWhWU2JDZz09,model,CITROEN DS5
ZVcyeVVYK3JMWUxaZXFSWklSWExpQT09,model,EVO EVO 7
TTI0czFUTE1xUDN4NVpEVEpoSElHQT09,model,FORD Galaxy
dEZDajRkcnptNUozMWVYWE5TR0hoUT09,model,ISUZU D-Max
NTZ0c2JTN2E3L1FhWVYyUWVLbEJBUT09,model,LANCIA Voyager
NzV4b2lZR0xPUndmWnlDNHlMZ1gvUT09,model,LEXUS RC
QlN0aWJLaldUTkFsWUJ2MnVkdFpqdz09,model,MAZDA Mazda5
ZkNsQ3IvUzNRbGVsWGEyR3R3cnE3UT09,model,MERCEDES Clase X
RjhYVnU0ZFkwOWcyaDAyNVBNYjlXUT09,model,NISSAN Cabstar
ekJSb0F2YlVUUlE1YW5wVVY1UC82YXE0UXljQTVGMDlBSHdZVzhhZEltOD0=,model,OPEL Corsa Van
S0MyTHgrb09LbTYrbmN3REN3VmJOUT09,model,OPEL Karl
U2pML0YvdmxueWMvcVhUNFJNSmNNUT09,model,PEUGEOT 406
c21nRVFHU0gxanpBRVR2NUpwdTRXaXVPSUN6OUV2Vjc4cWR6eW1DSWtCaz0=,model,RENAULT Clio Societé
elJnbDg1M1BTYVd0eFczTGpkbG8yRzJLRjhFdUJaWnFVVjgvdmt5am80RT0=,model,SEAT León X-perience
NWdiM1V1ejJzN2Z4bHFNTzhNRG9hUT09,model,SWM G01F
QVRsaFVhbitwNVlZWVM1MThZaGxEQT09,model,CHEVROLET Kalos
S1VaL21pMWkvOW5ZTE9NSm83RFAxUT09,model,FIAT Bravo
cnlZTVlxd3RNYmNiMXlERGc2azY3Zz09,model,FORD Fusion
YUNOKzJLSXhJZmwxdVRwaFRueGlRUT09,model,KIA Stinger
RUpLaStFNVd6QW9VamVaWVNoTTBuQT09,model,MAN TGE
bHNWL1dORXFDcE8ycUlxU1NvZCtMdz09,model,MERCEDES Clase R
dUtSNlEvaGs5QjZpK01oL05IWGxudz09,model,NISSAN Almera
MnlVaXRlYUVxK2lSeFlUSWJmc3gwbVUzdy9ndVAzcUEyc3BxM1FSZ0Yxcz0=,model,NISSAN Pathfinder
Wm5MU05WOVJOSXJwV090NEZpZjhLQT09,model,OPEL Tigra
Q0prMStwc1NWVlgvMC91N1ZVU2ZNQT09,model,PEUGEOT 508 RXH
NGV3bEt2UFFQRHp0Uk5KQU5lazFBUT09,model,PEUGEOT 807
Z2dYRHZCWjJzQTFYN2dHTjljVlhkdz09,model,SSANGYONG KGM Kyron
aFIwYmtTcXhkTWpCL2RvQlkxNW1veVJuNEExbEpxUTQ2Qm8xNEY5U2NNQT0=,model,SSANGYONG KGM Musso Sports
TkFucXNuNFpqVDRDQnFnTW9BOWVldz09,model,SUBARU Solterra
eHlOY1RKSStJSkx5SmM3MURKNTgrUT09,model,SUZUKI SX4
MFBtVGlRZ09zZmdVYVdmRWIwTGhNUT09,model,VOLKSWAGEN Jetta
bUI1U1ZCL0pmMkZOVlZ0UGZJUWk2dz09,model,VOLVO C30
Rkd3RnhLcFpNZXhGNW4vK1lWODZuUT09,model,BYD Atto 3
OEZvblhmUGZNRjBkU3lSVDhDaEIzUT09,model,DAEWOO Kalos
dWUxVFRwNEJCdnFkQ0VHN0xIcml5UT09,model,EVO EVO 4
OHpYMldPMEhiQmg0Zi9xTndzekV5M05sYkNBazlOZnd0U1JaNjBjZjFWQT0=,model,FIAT Punto Evo
VW91dHdINUVrTnc2NzNXQUp1R2h4cTVMWEc4azdsQzFNWk11d3cxSEFGND0=,model,FORD Focus C-Max
VnNFQ25iWjRnOXkyOW9tTEcxeTRyZz09,model,HONDA HR-V SUV
WlV0QzhHa3B3UXlqdjNaTEtPeEE2dz09,model,HYUNDAI Ioniq 6
bFVIOXk1NnZZeVRLN0VCS01vUng1Zz09,model,JAGUAR S-Type
STdVcStBendRaGg1ZjdMSGF5SlNCaEhybE9xeHZnQW1SV3Q4V2VuQ2ROOD0=,model,MERCEDES Clase GLK
ZnFaN3k1UjdrSTh6T3BjRVhJT1AxZz09,model,PEUGEOT 107
SFRKQXpJcDRjdlJXdkJBc2V1QkI1Zz09,model,PEUGEOT RCZ
eWVWR2FLUjRycGRyeEwxNlpTWStSQT09,model,RENAULT Fluence
QXZpQjNqN0FaQnlqZ0Z5bVBhdVB3RFBpNld2aFMyOE5vNTI2NEFJTEIwZz0=,model,SUBARU Crosstrek
SjE4eVZUQzBwMnJnL0U5UzlwYU1kUT09,model,SUZUKI Samurai
b1VzbHNrcGhqeVhLaEZMZlczaHoxZz09,model,VOLKSWAGEN ID7
eXpwOVRwZzEwUEJlTlNhOFFZS20zZz09,model,ALFA ROMEO 147
WjNhenNDOElrWHh5NFZwNUN2Q25oZz09,model,BENTLEY Bentayga
M2F0RXJmN1JoRkd5Q2ZNU3pPZWJaZz09,model,BMW iX
OFQ2VXprSmdwcm82RnM1d21kTXNnZz09,model,BYD Dolphin
Y1lmYWJnZkg0Q0V4RHNwc2lVMmtBUT09,model,CHEVROLET Orlando
ODdHblJrclBsZzBqNzI5cEdrTXJNZz09,model,FIAT Fullback
TnYrSDNJakx4OVY3Vi9saGdPNzVIL1Y1cVBENFV3MDlybzRtRG03WmxVdz0=,model,FIAT Grande Punto
T1puUzc4S0oxdDFwOUpXUnJ6cmtHZz09,model,FIAT Stilo
MWp0R3gvcTVrQ1k4WmUrR1NBOUplZz09,model,HONDA e NY1
TmJ6em5ERWlqY1Fpc0NmbUJnUHNHUT09,model,HYUNDAI Atos
RmVGR04rMUFlbXJCd2lCTTZaM29aUT09,model,KIA Venga
dzRVTGpwNVhDcVdCS3RlTXpPa3RwQT09,model,LEXUS GS
L0UwNzdVZGZxcDZLM0wyK2JGSi8xQT09,model,MAXUS Euniq 5
MTZ3ejkzZHAzRFd3MGZQNGVER0Jjdz09,model,MERCEDES Clase GL
RGFSY1d1SjRXSWdDVXhBVDV4SzFUdz09,model,PEUGEOT 1007
bFozbi9KWUVXRGZEMklhdmVUdi90QT09,model,PEUGEOT iOn
VGZRbTNsTlNUR2djOXArdGZCSDY3NVluWVk0RnEyZFo0dllRdkRTK200bz0=,model,TOYOTA Corolla Cross
VWdaTzRKZytTRmRZdjc5bmpGWDJ3QT09,model,VOLKSWAGEN IDBuzz
OThDY1dKUWxmdUdOb3ZZQXZXQS90VHhiRmVkV2VuUDJsa3NVeC9SLzU2QT0=,model,VOLKSWAGEN Passat CC
cmp3b3dpZjE0cFBNb0JNbEdxN2VyUT09,model,VOLVO S80
aXBJb3lWdGloZEIxK2IxRitVTXdDQT09,model,YUDO K3
UWFQajFmTTFPT284NENrSXY1RWRtdz09,model,CHEVROLET Matiz
WVYwM0h6Z29xNGo0bzQwZ05uNVlSdz09,model,CITROEN C-Zero
UVBoUTVEMFRoeUxKcTZXUmpWMEw5UT09,model,CITROEN Saxo
ZmNYbWlMU0NiZUllVTBiZERHMjh3azBuc09yTFF6V1lhT1JwbkZaNkkraz0=,model,HYUNDAI Coupé
cUxIcEd3NEdyYy8vUFdXQUxDZmFVZz09,model,HYUNDAI Terracan
V1lkUEZubGdoT3UrQU1yajdyMlJ1cDJIR1RoNmFZaE1QRmJ5elZ6QzNQYz0=,model,MAXUS e Deliver 3
YmFzbmh0WHJwYWk1ZnRnTEdLcURDdz09,model,MERCEDES Clase CL
SUNYTHkvVXlXTGI4RFkzdmlUTUZIdz09,model,NISSAN Primera
ejNsRldibjl3NFZXVU5ZUy9pTU5aQT09,model,PEUGEOT 205
cjRtMjA5WW1PREJ2cEZvZWN5MWU3QT09,model,SSANGYONG KGM Actyon
QU00NnlQVW02cmo2bXlIZDQ0Rnd2dz09,model,AUDI R8
b2JhUjR4VHFpTVFQL0ZLMkdiZnhRUT09,model,BYD Seal U
R2twbW10ZG9wZXJZZjBKdHFoTThQdz09,model,CHRYSLER 300C
K2xBMHZDa2VpK0E3b09RRGlRend2MWZhVnlObWhBSFJyZFluWEtWWWlsST0=,model,CHRYSLER PT Cruiser
cWxPVDVsU0FlMTdBL2YwQ2ZTMzNGZz09,model,CHRYSLER Sebring
Y2dsZUgwTkpBNmtxOGxyUEtybzROUT09,model,CITROEN C8
UzdGelRzcFFEcnhSTjhDSkliS29MN1M3NU5ONUxqYXhBZEJjQUViT213TT0=,model,FERRARI Portofino
eXF0RmlqbXVsYmVuOUoycWlSSytuZz09,model,HYUNDAI Staria
L0FmL1p3aEhLQVMycFBubUZTeXFyZz09,model,INFINITI FX
eU5mQURkTEZhQURtRGVBMG5taG00UT09,model,INVICTA D2S
Wk9QclBCVlowbVQ2TDd3T0ZNcXhCdUxNaEpwRXhEc2FmSnF4eVZMcCt4cz0=,model,LAMBORGHINI Huracán
Wnhsai9nckZtdDRpRDROR29hVVVWZz09,model,MAHINDRA XUV500
dmorclRUN1NPS3hvNVJEUm56Y2t3UT09,model,SERES 3
cjNPRElQRmVCci9BMTJta2l0VWpLQ1k4TEFTaXNmampSdkF3RS9hWTRCcz0=,model,VOLKSWAGEN Sportsvan
ZXY2cXN1MmRyRTFoUVJJTnhLTVZBZz09,model,VOLVO C70
L3NORlk5ckQwNmpRbWRHVFRBM1Fudz09,model,VOLVO XC70
Q1RQRHBlMDU4Mk9EakdKekN5L29QZz09,model,ALFA ROMEO 159
UHNUaEJZb0hla0hkTmNaMTBzN3QwQT09,model,ALPINE A110
ejN5aGdhSmZ5M1BjNlFwOFdJdGF3Wm1PQ1ZTL1NycnJJcGlBMnF0aFJxTT0=,model,AUDI A1 Citycarver
bkFqTGw1cHpwZlVvNnNUUEhOOWxpQT09,model,CHEVROLET Trax
S0FYcEFFdTlrUWtJcG5lbVdlYjRCZz09,model,DFSK Serie K
OTR0TFpCQ0lpeHpROVlTVmtEVW1xaTlhWXRMaDRiOUU3MzNLSm9xYmFlOD0=,model,DODGE Challenger
bHRHa0Z3THlrUHZpbGpia083V3A2UT09,model,DODGE Journey
ZmJLM0FZVTFMMURORktqNUtNMkVRUT09,model,FERRARI 458
Qi9jK1VkMUZwRHc4M1QraWM1UHN6c2NsVDdkTnFOQlRpZktQOXpWR1RBcz0=,model,FERRARI California
cmlhVjgzZEI3UjlIWHJub1VIbGROdz09,model,FORD Escort
a2hNelUrYS9YZFZ6RzhoS2o5RlN3QT09,model,HYUNDAI H-1
Uyt5VXJwSHdPMng5UWNYcUFBQ2tqUT09,model,HYUNDAI Matrix
R1BkOFBqL2Roc3VmZXdQT2l1QXN5dz09,model,HYUNDAI Sonata
